,TSLA,GOOGL
386,M&A Musk Gets a Minor Win in Twitter Fight. Wall Street Isn’t Worried Yet.,REGULATION A Texas Law Threatens the Future of Social Media. Investors Should Pay Attention.
387,AUTOS Tesla Recalls Another Million-Plus EVs. Investors Care This Time.,TECHNOLOGY Amazon Stock Is Splitting to $122. Trading Starts Monday.
388,AUTOS Ford Loads Up on Tech Execs for the EV Transformation,ESG INVESTING The ESG Fight in a Big Retirement Plan
389,OPINION Washington must stand firm on supporting domestic manufacturing of electric vehicles,Apple stock suffers first ‘death cross’ chart pattern since the pandemic
390,AUTOS Demand for the GMC Hummer Looks Strong. Electric Trucks Will Help GM Catch Tesla.,"TECHNOLOGY Amazon Splits Its Stock Next Week. Who’s Next, and Why It Matters."
391,AUTOS A Tesla Bull Has a New Top Pick. It’s a Battery Start-Up With 300% Upside.,Google investors shoot down racial-equity audit while approving stock split
392,AUTOS XPeng’s New SUV Is Here to Take On the Tesla Model Y,"Alphabet stock price target cut to $3,000 from $3,270 at Morgan Stanley"
393,ESG investing industry is likely to become less transparent as regulators crack down over ‘greenwashing’,Supreme Court temporarily blocks Texas social-media law
394,MUTUAL FUNDS Your Mutual Funds Are in the Dumps. Why You Might Still Owe Taxes on Gains.,"VALUE INVESTING Alphabet, Facebook, and 4 More Bargain Stocks to Buy Now"
395,AUTOS GM’s Big Hertz EV Order Overshadowed by Ford’s Woes,"NEWS GameStop, Salesforce, Netflix, Alphabet, Nvidia, and Other Stocks to Watch This Week"
396,AUTOS Ford’s Big Earnings Warning Is Really Good News. Just Ask Wall Street.,TECHNOLOGY Apple Won’t Produce as Many iPhones as Expected: Report
397,TRANSPORTATION Tesla CEO Elon Musk Has a Plan That Would Make Him a Very Rich Man,MARKETS An Unexpected Blue Wave Could Shake Up These Stocks
398,GROWTH INVESTING Amazon and Other Growth Stocks Have Been Hammered. Get Ready to Buy.,The clock is running out for Congress to pass Big Tech antitrust bills this year
399,MANUFACTURING Musk’s Grammar or a Tesla Robot: One Is Pushing Up the EV Stock,BARRON'S Several Major Advertisers Remain Wary of YouTube
400,AUTOS Cathie Wood’s ARK Sees a Huge Jump in EV Sales Coming. Cost Is the Key.,"Two years after George Floyd’s killing, Big Tech shareholders vote on racial-justice proposals"
401,AUTOS Tesla Plans Huge Push to Increase Sales in Germany. It Better Go Well.,Global stock markets higher after Wall St sinks
402,HEALTHCARE GE HealthCare’s Spinoff Is Coming. Here’s the Challenge for the Stock.,ECONOMICS Snap’s Terrible Guidance Is Another Big Warning About the Economy
403,"These 20 stocks have short interest of 19% or more, and AMC and GameStop are not even in the top half",Snap stock plunges toward worst drop on record as profit warning makes the shares ‘uninvestible’
404,What we love and hate about Tesla,MARKETS Whatever Is Hurting Snap Is Raining on Everything Else Too
405,Tesla plans to double sales in Germany for 2022: report,UPDATE: Internet stocks slide premarket as Snap's profit warning sends stock down 30%
406,Tesla plans to double German auto sales for 2022: report,TECHNOLOGY The Case for Buying the Tech-Stock Selloff Now
407,"Elon Musk’s ex sells photos and mementos from their college days for $165,268","How will ‘Saturday Night Live’ say farewell to Pete Davidson, Kate McKinnon and others?"
408,"Apple is now the market’s most shorted stock. If Tesla is an example, that’s bullish.","VENTURE CAPITAL The Tech Selloff Is About to Cause Big Problems for Start-Ups, Too"
409,Weekend reads: This may cause the next financial crisis,Match withdraws restraining order after Google agrees to 'various concessions'
410,AUTOS Tesla Stock Bulls and Their Bullish Comments Aren’t Helping Shares,MARKETS The S&P 500 Is Almost in a Bear Market. Keep an Eye on This Number.
411,"Tesla has one less bear after Needham upgrades, citing several reasons to expect a stock rally",Google is the target of a new Senate bill that seeks to break up online-ad businesses
412,Tesla stock price target raised to $400 from $375 at Deutsche Bank,Google’s Russian business plans to file for bankruptcy
413,"Elon Musk’s latest court filing alleges fraud by Twitter, focuses on whistleblower’s allegations",OPINION The metaverse is inevitable — we have been heading toward it for a long time. This is the good and the bad when the physical and virtual worlds collide
414,The Ethereum Merge is completed. What’s next? Here are three things you should watch,MARKETS Don’t Panic. It’s Time to Be Bold and Buy Stocks.
415,"Bitcoin’s a market ‘tumor’ thanks to Fed’s easy money, says ‘Black Swan’ author","TECHNOLOGY Apple, Tesla, and These Stocks Are Buys Out of the Tech Wreck"
416,AUTOS This EV Should Win Car of the Year. The Award Will Probably Go to Toyota.,Match to seek temporary restraining order against Google
417,BARRON'S Why Tesla’s Cars Cost 50% More in China,TECHNOLOGY More Bad Times Ahead for These 6 Big Tech Stocks
418,AUTOS Tesla Stock Got an Upgrade for an Unusual Reason,"TECHNOLOGY Apple, Netflix, and Other Tech Stocks Are Crumbling. The Pain Might Not Be Over."
419,Tesla shifts battery strategy as it seeks U.S. tax credits,BARRON'S Is Google Maps a Hidden Treasure?
420,TECHNOLOGY Tesla Lost a Crown to Apple. It’s Probably Happy to See It Go.,Match sues Google after being refused the same app-store treatment as Spotify
421,CORRECTED Tesla spent 864 days as Wall Street’s biggest short bet. Now it’s Apple.,TECHNOLOGY Apple and Amazon Have Fallen for 6 Straight Weeks. There Could Be More Pain Ahead.
422,"Lawsuit accuses Tesla of overstating Autopilot, Full Self Driving capabilities",Judge rejects Trump lawsuit challenging ban from Twitter
423,"AUTOS President Biden Headed in ‘Right Direction’ With EV Charging Money, Analyst Says",Apple has spent decades building its walled garden. It may be starting to crack
424,Tesla upgraded to hold from underperform at Needham,"With interest rates rising, it’s time to focus on MANG stocks instead of FAANG, according to Jefferies"
425,Biden to Detroit Auto Show: First $900 million to fill gaps in EV charging network is on its way,Britain pushes tough tech rules under new digital watchdog
426,Twitter stock forms first bullish ‘golden cross’ in more than 2 years,MARKETS Amazon Has Shed 25% of Its Value. Wall Street Still Thinks the Stock Is a Buy.
427,"OPINION Biden’s green energy subsidies will boost inflation, distort investment",Salesforce extends ‘Silenced No More Act’ protections to all U.S. employees
428,"AUTOS Detroit Auto Show Is a Big Deal, but Not for Tesla",FAANG stocks plus Microsoft lost $1.4 trillion in market value during April
429,These five stocks in the S&P 500 lost almost half a trillion dollars in value in one day amid widespread wipeout,FINANCIALS Alphabet’s Chief Financial Officer Bought Up Stock. It Wasn’t Alphabet’s.
430,AUTOS Tesla Talks About a Lower-Priced Car. When It’s Coming.,MARKETS Earnings Season Has Been Just One More Reason to Sell Stocks
431,"Dow books near 1,300-point drop as stocks record worst day since June 2020",TECHNOLOGY Big Tech Can’t Easily Fix the Stock Market’s Woes This Time
432,Twitter shareholders approve Musk's bid to buy company,M&A How Elon Musk Can Save Twitter
433,"Scale up the climate-change response now or expect drought and heat to get worse, meteorological group warns","OPINION Big Tech is no longer winning as big, but these two stocks still seem safe"
434,Consumer discretionary stocks takes a broad beating after consumer inflation data,MARKETS Tech Earnings Give Snapshot of Economic Headwinds Ahead
435,AUTOS Tesla Peer BYD Has 50% Plus Upside. Here’s How U.S. Investors Can Take Advantage.,TECHNOLOGY Amazon Earnings Disappoint. The Bigger Issue Is the Outlook.
436,AUTOS Buy Volkswagen Stock. Porsche’s IPO Could Unlock Value at the Emerging Tesla Challenger.,Facebook parent company Meta is headed for biggest single-day stock increase in six years
437,BARRON'S Tesla Seems to Have a Branding Problem,"Alphabet stock bounces 1.3% premarket, after falling 3.7% Wednesday to 11-mo. low"
438,AUTOS Cathie Wood Says Falling Car Prices Could Mean Trouble,Google’s troubles lead analysts to point fingers squarely at YouTube
439,AUTOS Lucid Stock Gets a New Buy Rating. Its Batteries Are Beating Tesla’s.,TECHNOLOGY Alphabet’s Stock Fell Again. YouTube Has a TikTok Problem.
440,ENERGY Elon Musk Has a Solution for the Energy Grid. And He’s Probably Right.,"Dow, S&P 500 eke out gains but Nasdaq slips after booking biggest dive since 2020"
441,M&A Twitter Says Elon Musk’s Latest Attempt to Abandon Deal Is ‘Invalid’,MARKETS Stocks Close Mixed After Deep Selloff—and What Else Happened in the Stock Market Today
442,Twitter says Elon Musk’s latest termination letter is also ‘invalid’,TECHNOLOGY Microsoft’s Landmark Quarter Proves the Cloud Story Is Still on the Rise
443,TECHNOLOGY Elon Musk Gives a New Reason to Cancel Twitter Deal,"Alphabet stock price target cut to $3,600 from $3,850 at UBS"
444,AUTOS Tesla Is Planning a New Business,"TECHNOLOGY Microsoft Rises, Alphabet Falls Because ‘Not All Technology Stocks Are Created Equal’"
445,AUTOS Polestar Gets Sell Rating. Its Shares Rise.,"Alphabet stock price target cut to $2,940 from $3,173 at BofA Securities"
446,Here’s why Tesla is considering refining its own lithium,TECHNOLOGY Alphabet Earnings Disappoint. The Stock Is Dropping.
447,AUTOS Tesla CEO Elon Musk Is Having a Bad Year by This Metric,"Alphabet stock price target cut to $3,500 from $3,850 at Monness Crespi Hardt"
448,"FINTECH Robinhood Reveals Its Users Love Tesla, Big Tech and Meme Stocks. Go Figure.","Alphabet stock price target cut to $3,113 from $3,800 at Wedbush"
449,MARKETS Big Tech Stocks Are Still Pricey. What That Means for the Market.,"Alphabet sales and earnings fall just short of estimates, stock dips"
